,id,trial,gender,group,age,time,trial_type1,trial_type2,trial_type3,trial_type4,trial_type5,trial_type6,trial_type7,trial_type8,trial_type9,trial_type10,trial_type11,trial_type12,trial_type13,trial_type14,trial_type15,trial_type16,trial_type17,trial_type18,trial_type19,trial_type20,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9,rt10,rt11,rt12,rt13,rt14,rt15,rt16,rt17,rt18,rt19,rt20,accuracy1,accuracy2,accuracy3,accuracy4,accuracy5,accuracy6,accuracy7,accuracy8,accuracy9,accuracy10,accuracy11,accuracy12,accuracy13,accuracy14,accuracy15,accuracy16,accuracy17,accuracy18,accuracy19,accuracy20,avg_incongruent,avg_congruent,acc_incongruent,acc_congruent
10,6,1,M,exercise,29,10:29:44,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,1.69460211753845,1.83726202011108,1.38133417129517,1.176734790802,1.09055124282837,1.16108714103699,1.08279810905457,1.66420279502869,1.25530205726624,1.01200901031494,1.2235311126709,1.26311098098755,0.850550994873047,1.42009531021118,1.06730209350586,0.893746004104614,1.49102579116821,0.886248931884766,1.15297399520874,2.00186692237854,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.3096443131390743,1.114127422968548,0.85,0.15
11,6,2,M,exercise,29,10:38:16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.80384789466858,1.15474782943726,1.15382491111755,1.44423209190369,1.16092477798462,1.60833297729492,1.04337488174438,1.04313694000244,2.08917795181274,1.27119909286499,1.45187293052673,1.08264885902405,1.35743103981018,1.41244922637939,1.02769289970398,2.45780693054199,1.0590339756012,1.48335300445557,1.14524684906006,1.55385099411011,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.3902093029022216,,1.0,0.0
12,7,1,M,exercise,29,19:40:45,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,1.42730508804321,1.64805375099182,1.34965501785278,1.50639806747437,2.3080242729187,1.41202794075012,1.65591107368469,1.1527520275116,1.27902589797974,1.71823488235474,1.53920899391174,1.44407211303711,1.34184990882874,1.3029349899292,1.03531180381775,1.56244908332825,1.3418708896637,1.38882981300354,1.79011379241943,1.6642688369751,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.5172406291961673,1.4219377613067639,0.75,0.25
13,7,2,M,exercise,29,19:50:02,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,0.962978229522705,1.0350328540802,1.49157796859741,1.05052886962891,0.877952919006348,1.23918615341187,1.34917388916016,1.19219695091248,1.14503179550171,0.909277067184448,1.32540522575378,1.36519299507141,1.27838598251343,1.05865393638611,1.24005304336548,0.869667873382568,1.3961750125885,1.23971019744873,1.01142059326172,2.14234601020813,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.1812047173426714,1.2606123202187673,0.65,0.35
14,8,1,M,exercise,26,12:26:48,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.63890480995178,1.0344021320343,1.19924116134644,1.22264313697815,2.90449786186218,0.82289981842041,1.56097292900085,1.38815093040466,1.17701578140259,1.44355988502502,1.3967878818512,1.63240003585815,1.65538883209229,0.808223962783814,1.42059111595154,1.0197811126709,0.941367149353027,1.9780330657959,2.0341169834137,1.78979206085205,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,1.5796022862195969,1.0154335498809821,0.8,0.1
15,8,2,M,exercise,26,12:35:08,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,2.04850268363953,1.81346201896667,0.941027879714966,1.59354686737061,1.53070998191834,1.64085698127747,1.35767889022827,1.24780201911926,1.20083808898926,0.83112907409668,1.59365510940552,1.34967303276062,1.3659770488739,1.5312237739563,1.46859121322632,1.34909009933472,0.878420352935791,1.66419100761414,0.830701112747192,1.09056711196899,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,1.4176700115203873,1.2714076836903867,0.8,0.15
16,9,1,F,control,21,12:39:45,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.27847909927368,1.00321388244629,1.55317616462708,1.47537207603455,1.56183886528015,1.73366498947144,1.2871470451355,0.92417311668396,1.03561496734619,1.17567420005798,1.45098185539246,1.00329089164734,1.42725110054016,1.45950317382813,1.12959313392639,1.45227026939392,0.996015071868897,1.27154874801636,1.08180904388428,1.07458782196045,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,1.3032458339418693,1.2027263641357433,0.7,0.15
17,9,2,F,control,21,12:47:53,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,1.12106013298035,2.41786289215088,0.941387176513672,2.5360381603241,2.64574384689331,1.33300495147705,1.0584020614624,1.50698637962341,1.17662692070007,1.41989898681641,1.01032495498657,2.71673107147217,1.12849307060242,1.25511908531189,0.853938102722168,1.36568975448608,1.23917412757874,0.979768753051758,0.775471925735474,1.46667289733887,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,1.5891049558466137,1.3978552341461195,0.55,0.25
18,10,1,F,exercise,24,12:51:19,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1.28411912918091,1.36495113372803,1.03483295440674,0.979528903961182,1.49785900115967,1.49059629440308,1.56126832962036,1.51502108573914,0.963673114776611,1.2228889465332,1.33315491676331,1.51403784751892,1.0112361907959,1.39724111557007,1.34920287132263,1.12932300567627,1.3727068901062,1.38835716247559,1.34816193580627,1.30241513252258,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.3171414269341366,1.1760151386261004,0.9,0.1
19,10,2,F,exercise,24,12:59:53,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.51211023330688,1.19182014465332,0.979038000106812,1.12928891181946,1.3961877822876,1.22368979454041,1.21567893028259,1.0270688533783,1.03435707092285,1.04335188865662,1.37252998352051,0.979843854904175,1.03489303588867,1.14662337303162,1.51383590698242,1.08153820037842,1.3825569152832,0.901654005050659,1.14445018768311,1.15314102172852,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.155253799338091,1.51383590698242,0.95,0.05
